,pilot,mp,archetype,deck_uuid,place
503,mspeil,15,Dimir Midrange,d7e6702e-9896-44e4-b853-b2d101618bdb,504
504,Dana Fischer,15,Izzet Prowess,b0370c56-16b4-4723-a45e-b2d101196b15,505
505,Jeff Schultz,15,Gruul Mice,86060480-6015-419b-9220-b2cf00548ff5,506
506,Julian John,15,Izzet Prowess,410292e3-1d8d-4697-9baf-b2d10172abe1,507
507,Matt Ludwigson,15,Izzet Prowess,6b1bd7e8-1f01-48fd-b99a-b2d0013431e8,508
508,Jon Wilkins,15,Orzhov Pixie,b29d6313-7518-4bd2-9f54-b2d10057f911,509
509,Sam Powers,15,Azorius Control,9887018a-a01e-49ed-a82e-b2d10174f6a8,510
510,danielfayecpa,15,Azorius Control,d1cd5784-3b70-450f-bd83-b2cf018b25a6,511
511,Matthew Pence,15,Abzan Pixie,60c8d195-3586-4663-957f-b2cf004b7b66,512
512,Viet Tran,15,Golgari Demons,8bff4106-208d-4e9b-9d0d-b2d000e9421c,513
513,Dakotajmack1996,15,Orzhov Pixie,d8eb4492-2ad8-408f-a112-b2d10139da16,514
514,Joe Briones III,15,Izzet Prowess,25586926-c637-466e-89b6-b2d1011dfe49,515
515,Laurence Lo,15,Azorius Omniscience,f4faff3a-12bc-41f2-9b28-b2d101664a6c,516
516,Mason Bakken,14,Azorius Control,e18a97fc-f580-4456-901b-b2d10169a77b,517
517,Josue Hernandez,13,Orzhov Pixie,6093b462-d8a8-4040-b9fd-b2d1001b2aa7,518
518,PhyrexianJohn,13,Jeskai Control,700260ba-85b4-4b01-b665-b2d0000f4cb8,519
519,Ardit Kacani,13,Dimir Midrange,97dd46f4-a9d4-4871-b554-b2d1014b6872,520
520,Charlie Trochlil,13,Mono-Red Aggro,612b8cb2-c801-4d1e-baca-b2d101576930,521
521,ogstepheng,13,Jeskai Control,9793de10-0a6b-4571-bad8-b2d10176c857,522
522,Douglas Bailey,13,Zur Overlords,d7004c1c-3c2e-4d5c-bbed-b2d10136d5c1,523
523,Lee Webb,13,Izzet Prowess,de662302-acc5-418c-81d4-b2d10180078e,524
524,jws,13,Jeskai Oculus,e801bc13-7861-4bdc-b11d-b2cb010024c2,525
525,Zachary Porr,13,Izzet Prowess,4c62d859-8097-43a5-8089-b2d00159a0eb,526
526,Warro,13,Gruul Mice,05a1e00f-8cb6-4a3e-80e2-b2d1014063a0,527
527,Joseph Marut,13,Mono-Black Demons,0eed1256-180f-4d39-a855-b2d100e3d723,528
528,Bliss Bizzell-Hand,13,Zur Overlords,1480577e-bbdf-4008-91c9-b2d101260a54,529
529,Bryguy110,13,Jeskai Oculus,df0512fb-68fa-4709-90f3-b2d1010c1317,530
530,Dylan Feeman,13,Orzhov Amalia,1c06dadf-08a9-4457-9077-b2d00185685a,531
531,Jon Beitler,13,Golgari Beanstalk,442742ab-401a-4e52-b349-b2d1001941e3,532
532,woodardgregory,13,Jeskai Oculus,f6c1dcfe-1682-46e7-9991-b2d0017229d6,533
533,jsegawa,12,Jeskai Oculus,2e64e349-6b70-47fc-b4d1-b2d1014a38f6,534
534,Noah Brandes,12,Izzet Prowess,8372fa2f-496c-4b24-b060-b2d10145554c,535
535,Thomson Coffey,12,Mono-Red Aggro,a3f64db6-88f9-4b99-8b36-b2d1002a0e7b,536
536,Dairion Hartshorn,12,Izzet Prowess,1ae382e6-71b9-435a-9f3a-b2d10177009a,537
537,Benjamin Hamilton,12,Mono-Black Demons,9bca7d9d-841f-46c9-8609-b2d100907e4e,538
