,pilot,archetype,card,total,loc
16,"Boucher, David",Mono-Black Reanimator,Ghost Vacuum,4,side
17,"Boucher, David",Mono-Black Reanimator,"Sheoldred, the Apocalypse",2,side
18,"Boucher, David",Mono-Black Reanimator,Stab,2,side
0,"Shoemaker, John",Rakdos Reanimator,"Atraxa, Grand Unifier",2,main
1,"Shoemaker, John",Rakdos Reanimator,"Etali, Primal Conqueror // Etali, Primal Sickness",1,main
2,"Shoemaker, John",Rakdos Reanimator,Fear of Missing Out,4,main
3,"Shoemaker, John",Rakdos Reanimator,Harvester of Misery,1,main
4,"Shoemaker, John",Rakdos Reanimator,Overlord of the Balemurk,4,main
5,"Shoemaker, John",Rakdos Reanimator,Tersa Lightshatter,4,main
6,"Shoemaker, John",Rakdos Reanimator,Trumpeting Carnosaur,1,main
7,"Shoemaker, John",Rakdos Reanimator,Valgavoth's Faithful,2,main
8,"Shoemaker, John",Rakdos Reanimator,"Valgavoth, Terror Eater",2,main
9,"Shoemaker, John",Rakdos Reanimator,Abrade,2,main
10,"Shoemaker, John",Rakdos Reanimator,Bitter Triumph,2,main
11,"Shoemaker, John",Rakdos Reanimator,Torch the Tower,4,main
12,"Shoemaker, John",Rakdos Reanimator,Duress,1,main
13,"Shoemaker, John",Rakdos Reanimator,Zombify,4,main
14,"Shoemaker, John",Rakdos Reanimator,Rakdos Joins Up,1,main
15,"Shoemaker, John",Rakdos Reanimator,Blackcleave Cliffs,4,main
16,"Shoemaker, John",Rakdos Reanimator,Blazemire Verge,4,main
17,"Shoemaker, John",Rakdos Reanimator,Demolition Field,2,main
18,"Shoemaker, John",Rakdos Reanimator,Mountain,3,main
19,"Shoemaker, John",Rakdos Reanimator,Raucous Theater,4,main
20,"Shoemaker, John",Rakdos Reanimator,Sulfurous Springs,4,main
21,"Shoemaker, John",Rakdos Reanimator,Swamp,4,main
22,"Shoemaker, John",Rakdos Reanimator,Brotherhood's End,2,side
23,"Shoemaker, John",Rakdos Reanimator,Cut Down,2,side
24,"Shoemaker, John",Rakdos Reanimator,Duress,3,side
25,"Shoemaker, John",Rakdos Reanimator,Ghost Vacuum,2,side
26,"Shoemaker, John",Rakdos Reanimator,Gix's Command,1,side
27,"Shoemaker, John",Rakdos Reanimator,Pyroclasm,2,side
28,"Shoemaker, John",Rakdos Reanimator,"Sheoldred, the Apocalypse",2,side
29,"Shoemaker, John",Rakdos Reanimator,The Stone Brain,1,side
0,"Johns, John",Jeskai Oculus,Mountain,1,main
1,"Johns, John",Jeskai Oculus,Seachrome Coast,4,main
2,"Johns, John",Jeskai Oculus,Steamcore Scholar,4,main
3,"Johns, John",Jeskai Oculus,Torch the Tower,4,main
4,"Johns, John",Jeskai Oculus,Shivan Reef,4,main
5,"Johns, John",Jeskai Oculus,Abhorrent Oculus,4,main
6,"Johns, John",Jeskai Oculus,Tersa Lightshatter,2,main
7,"Johns, John",Jeskai Oculus,Adarkar Wastes,3,main
8,"Johns, John",Jeskai Oculus,Spell Pierce,3,main
9,"Johns, John",Jeskai Oculus,Spirebluff Canal,4,main
10,"Johns, John",Jeskai Oculus,Spyglass Siren,2,main
11,"Johns, John",Jeskai Oculus,Marauding Mako,3,main
12,"Johns, John",Jeskai Oculus,Proft's Eidetic Memory,4,main
13,"Johns, John",Jeskai Oculus,Inspiring Vantage,3,main
14,"Johns, John",Jeskai Oculus,Helping Hand,4,main
15,"Johns, John",Jeskai Oculus,Glacial Dragonhunt,2,main
16,"Johns, John",Jeskai Oculus,Fear of Missing Out,4,main
17,"Johns, John",Jeskai Oculus,Island,1,main
18,"Johns, John",Jeskai Oculus,Sheltered by Ghosts,3,main
19,"Johns, John",Jeskai Oculus,Battlefield Forge,2,main
20,"Johns, John",Jeskai Oculus,High Noon,2,side
21,"Johns, John",Jeskai Oculus,Disdainful Stroke,1,side
22,"Johns, John",Jeskai Oculus,Brotherhood's End,1,side
23,"Johns, John",Jeskai Oculus,Pyroclasm,1,side
24,"Johns, John",Jeskai Oculus,Ghost Vacuum,2,side
25,"Johns, John",Jeskai Oculus,"Chandra, Spark Hunter",1,side
26,"Johns, John",Jeskai Oculus,Sheltered by Ghosts,1,side
27,"Johns, John",Jeskai Oculus,Loran of the Third Path,1,side
28,"Johns, John",Jeskai Oculus,Destroy Evil,2,side
29,"Johns, John",Jeskai Oculus,No More Lies,2,side
30,"Johns, John",Jeskai Oculus,Winternight Stories,1,side
0,"Warburton, Spencer",Jeskai Oculus,Abhorrent Oculus,4,main
1,"Warburton, Spencer",Jeskai Oculus,Adarkar Wastes,2,main
2,"Warburton, Spencer",Jeskai Oculus,Battlefield Forge,2,main
3,"Warburton, Spencer",Jeskai Oculus,Fear of Missing Out,4,main
4,"Warburton, Spencer",Jeskai Oculus,Glacial Dragonhunt,3,main
5,"Warburton, Spencer",Jeskai Oculus,Helping Hand,3,main
6,"Warburton, Spencer",Jeskai Oculus,Inspiring Vantage,4,main
7,"Warburton, Spencer",Jeskai Oculus,Island,1,main
8,"Warburton, Spencer",Jeskai Oculus,Marauding Mako,4,main
9,"Warburton, Spencer",Jeskai Oculus,Meticulous Archive,1,main
10,"Warburton, Spencer",Jeskai Oculus,Mountain,1,main
11,"Warburton, Spencer",Jeskai Oculus,Proft's Eidetic Memory,4,main
12,"Warburton, Spencer",Jeskai Oculus,Recommission,2,main
13,"Warburton, Spencer",Jeskai Oculus,Seachrome Coast,4,main
14,"Warburton, Spencer",Jeskai Oculus,Sheltered by Ghosts,2,main
15,"Warburton, Spencer",Jeskai Oculus,Shivan Reef,3,main
16,"Warburton, Spencer",Jeskai Oculus,Spell Pierce,1,main
17,"Warburton, Spencer",Jeskai Oculus,Spirebluff Canal,4,main
18,"Warburton, Spencer",Jeskai Oculus,Steamcore Scholar,4,main
19,"Warburton, Spencer",Jeskai Oculus,Tersa Lightshatter,2,main
20,"Warburton, Spencer",Jeskai Oculus,Torch the Tower,4,main
21,"Warburton, Spencer",Jeskai Oculus,Winternight Stories,1,main
22,"Warburton, Spencer",Jeskai Oculus,Loran of the Third Path,1,side
23,"Warburton, Spencer",Jeskai Oculus,"Kaito, Cunning Infiltrator",1,side
24,"Warburton, Spencer",Jeskai Oculus,"Chandra, Spark Hunter",2,side
25,"Warburton, Spencer",Jeskai Oculus,Change the Equation,1,side
26,"Warburton, Spencer",Jeskai Oculus,Disdainful Stroke,2,side
27,"Warburton, Spencer",Jeskai Oculus,Exorcise,1,side
28,"Warburton, Spencer",Jeskai Oculus,Brotherhood's End,1,side
29,"Warburton, Spencer",Jeskai Oculus,Ghost Vacuum,2,side
30,"Warburton, Spencer",Jeskai Oculus,Cryptic Coat,1,side
31,"Warburton, Spencer",Jeskai Oculus,Authority of the Consuls,1,side
32,"Warburton, Spencer",Jeskai Oculus,Sheltered by Ghosts,2,side
0,"Hawkins, Victor",Izzet Prowess,Burst Lightning,2,main
1,"Hawkins, Victor",Izzet Prowess,Cori-Steel Cutter,4,main
2,"Hawkins, Victor",Izzet Prowess,Drake Hatcher,2,main
3,"Hawkins, Victor",Izzet Prowess,Into the Flood Maw,2,main
4,"Hawkins, Victor",Izzet Prowess,Island,5,main
5,"Hawkins, Victor",Izzet Prowess,Monastery Swiftspear,4,main
6,"Hawkins, Victor",Izzet Prowess,Monstrous Rage,4,main
7,"Hawkins, Victor",Izzet Prowess,Mountain,4,main
8,"Hawkins, Victor",Izzet Prowess,Opt,4,main
9,"Hawkins, Victor",Izzet Prowess,Riverpyre Verge,4,main
10,"Hawkins, Victor",Izzet Prowess,Shivan Reef,4,main
11,"Hawkins, Victor",Izzet Prowess,Sleight of Hand,4,main
12,"Hawkins, Victor",Izzet Prowess,Slickshot Show-Off,3,main
13,"Hawkins, Victor",Izzet Prowess,Spirebluff Canal,4,main
14,"Hawkins, Victor",Izzet Prowess,Stock Up,4,main
15,"Hawkins, Victor",Izzet Prowess,Stormchaser's Talent,4,main
16,"Hawkins, Victor",Izzet Prowess,Torch the Tower,2,main
17,"Hawkins, Victor",Izzet Prowess,Ghost Vacuum,1,side
18,"Hawkins, Victor",Izzet Prowess,Into the Flood Maw,1,side
19,"Hawkins, Victor",Izzet Prowess,"Ral, Crackling Wit",2,side
20,"Hawkins, Victor",Izzet Prowess,Enduring Curiosity,1,side
21,"Hawkins, Victor",Izzet Prowess,Spell Pierce,2,side
22,"Hawkins, Victor",Izzet Prowess,Disdainful Stroke,2,side
23,"Hawkins, Victor",Izzet Prowess,Lithomantic Barrage,1,side
24,"Hawkins, Victor",Izzet Prowess,Pyroclasm,1,side
25,"Hawkins, Victor",Izzet Prowess,Drake Hatcher,2,side
26,"Hawkins, Victor",Izzet Prowess,Witchstalker Frenzy,1,side
27,"Hawkins, Victor",Izzet Prowess,Obliterating Bolt,1,side
0,"Ford, Kaden",Dimir Midrange,Spyglass Siren,4,main
1,"Ford, Kaden",Dimir Midrange,Floodpits Drowner,4,main
2,"Ford, Kaden",Dimir Midrange,Preacher of the Schism,3,main
3,"Ford, Kaden",Dimir Midrange,Tishana's Tidebinder,1,main
4,"Ford, Kaden",Dimir Midrange,Enduring Curiosity,4,main
5,"Ford, Kaden",Dimir Midrange,"Kaito, Bane of Nightmares",3,main
6,"Ford, Kaden",Dimir Midrange,Cut Down,3,main
7,"Ford, Kaden",Dimir Midrange,Anoint with Affliction,1,main
8,"Ford, Kaden",Dimir Midrange,Go for the Throat,3,main
9,"Ford, Kaden",Dimir Midrange,Darkslick Shores,4,main
10,"Ford, Kaden",Dimir Midrange,Fountainport,1,main
11,"Ford, Kaden",Dimir Midrange,Gloomlake Verge,4,main
12,"Ford, Kaden",Dimir Midrange,Island,4,main
13,"Ford, Kaden",Dimir Midrange,Restless Reef,2,main
14,"Ford, Kaden",Dimir Midrange,Swamp,4,main
15,"Ford, Kaden",Dimir Midrange,Underground River,4,main
16,"Ford, Kaden",Dimir Midrange,Deep-Cavern Bat,3,main
17,"Ford, Kaden",Dimir Midrange,Phantom Interference,1,main
18,"Ford, Kaden",Dimir Midrange,Qarsi Revenant,2,main
19,"Ford, Kaden",Dimir Midrange,"Sheoldred, the Apocalypse",1,main
20,"Ford, Kaden",Dimir Midrange,Spell Pierce,1,main
21,"Ford, Kaden",Dimir Midrange,Gix's Command,1,main
22,"Ford, Kaden",Dimir Midrange,Intimidation Tactics,1,main
23,"Ford, Kaden",Dimir Midrange,Soulstone Sanctuary,2,main
24,"Ford, Kaden",Dimir Midrange,"Sheoldred, the Apocalypse",1,side
25,"Ford, Kaden",Dimir Midrange,Negate,1,side
26,"Ford, Kaden",Dimir Midrange,Duress,2,side
27,"Ford, Kaden",Dimir Midrange,Gix's Command,1,side
28,"Ford, Kaden",Dimir Midrange,Ghost Vacuum,2,side
29,"Ford, Kaden",Dimir Midrange,Faerie Mastermind,1,side
30,"Ford, Kaden",Dimir Midrange,Tishana's Tidebinder,2,side
31,"Ford, Kaden",Dimir Midrange,Cut Down,1,side
32,"Ford, Kaden",Dimir Midrange,Three Steps Ahead,1,side
33,"Ford, Kaden",Dimir Midrange,Anoint with Affliction,1,side
34,"Ford, Kaden",Dimir Midrange,Intimidation Tactics,1,side
35,"Ford, Kaden",Dimir Midrange,Disdainful Stroke,1,side
0,"Gabriel, Alexander",Mono-Red Aggro,Abrade,2,main
1,"Gabriel, Alexander",Mono-Red Aggro,Burst Lightning,4,main
2,"Gabriel, Alexander",Mono-Red Aggro,Emberheart Challenger,4,main
3,"Gabriel, Alexander",Mono-Red Aggro,Heartfire Hero,4,main
4,"Gabriel, Alexander",Mono-Red Aggro,Hired Claw,4,main
5,"Gabriel, Alexander",Mono-Red Aggro,Lightning Strike,3,main
6,"Gabriel, Alexander",Mono-Red Aggro,Manifold Mouse,4,main
7,"Gabriel, Alexander",Mono-Red Aggro,Monstrous Rage,4,main
8,"Gabriel, Alexander",Mono-Red Aggro,Mountain,16,main
9,"Gabriel, Alexander",Mono-Red Aggro,Rockface Village,4,main
10,"Gabriel, Alexander",Mono-Red Aggro,Screaming Nemesis,4,main
11,"Gabriel, Alexander",Mono-Red Aggro,Soulstone Sanctuary,2,main
12,"Gabriel, Alexander",Mono-Red Aggro,Sunspine Lynx,1,main
13,"Gabriel, Alexander",Mono-Red Aggro,Tersa Lightshatter,2,main
14,"Gabriel, Alexander",Mono-Red Aggro,Witchstalker Frenzy,2,main
15,"Gabriel, Alexander",Mono-Red Aggro,Case of the Crimson Pulse,2,side
16,"Gabriel, Alexander",Mono-Red Aggro,Ghost Vacuum,2,side
17,"Gabriel, Alexander",Mono-Red Aggro,Lithomantic Barrage,1,side
18,"Gabriel, Alexander",Mono-Red Aggro,Magebane Lizard,3,side
19,"Gabriel, Alexander",Mono-Red Aggro,Pyroclasm,1,side
20,"Gabriel, Alexander",Mono-Red Aggro,Sunspine Lynx,3,side
21,"Gabriel, Alexander",Mono-Red Aggro,Torch the Tower,3,side
0,"Parrish, Joby",Jeskai Control,"Shiko, Paragon of the Way",4,main
1,"Parrish, Joby",Jeskai Control,"Chandra, Hope's Beacon",1,main
2,"Parrish, Joby",Jeskai Control,Marang River Regent // Coil and Catch,2,main
3,"Parrish, Joby",Jeskai Control,"Ugin, Eye of the Storms",1,main
4,"Parrish, Joby",Jeskai Control,"Beza, the Bounding Spring",3,main
5,"Parrish, Joby",Jeskai Control,Dispelling Exhale,2,main
6,"Parrish, Joby",Jeskai Control,Day of Judgment,2,main
7,"Parrish, Joby",Jeskai Control,Get Lost,3,main
8,"Parrish, Joby",Jeskai Control,Rediscover the Way,2,main
9,"Parrish, Joby",Jeskai Control,Lightning Helix,3,main
10,"Parrish, Joby",Jeskai Control,Temporary Lockdown,2,main
11,"Parrish, Joby",Jeskai Control,Abrade,3,main
12,"Parrish, Joby",Jeskai Control,Stock Up,4,main
13,"Parrish, Joby",Jeskai Control,Three Steps Ahead,2,main
14,"Parrish, Joby",Jeskai Control,Plains,3,main
15,"Parrish, Joby",Jeskai Control,Island,2,main
16,"Parrish, Joby",Jeskai Control,Floodfarm Verge,4,main
17,"Parrish, Joby",Jeskai Control,Meticulous Archive,4,main
18,"Parrish, Joby",Jeskai Control,Thundering Falls,1,main
19,"Parrish, Joby",Jeskai Control,Sunbillow Verge,4,main
20,"Parrish, Joby",Jeskai Control,Riverpyre Verge,3,main
21,"Parrish, Joby",Jeskai Control,Fountainport,2,main
22,"Parrish, Joby",Jeskai Control,Elegant Parlor,3,main
23,"Parrish, Joby",Jeskai Control,Exorcise,1,side
24,"Parrish, Joby",Jeskai Control,Destroy Evil,2,side
25,"Parrish, Joby",Jeskai Control,Disdainful Stroke,1,side
26,"Parrish, Joby",Jeskai Control,Negate,1,side
27,"Parrish, Joby",Jeskai Control,Change the Equation,1,side
28,"Parrish, Joby",Jeskai Control,Sunfall,1,side
29,"Parrish, Joby",Jeskai Control,High Noon,3,side
30,"Parrish, Joby",Jeskai Control,"Elesh Norn, Mother of Machines",1,side
31,"Parrish, Joby",Jeskai Control,Ghost Vacuum,1,side
32,"Parrish, Joby",Jeskai Control,Kutzil's Flanker,3,side
0,"Hoxie, Richard",Izzet Prowess,Burst Lightning,4,main
1,"Hoxie, Richard",Izzet Prowess,Cori-Steel Cutter,4,main
2,"Hoxie, Richard",Izzet Prowess,Drake Hatcher,2,main
3,"Hoxie, Richard",Izzet Prowess,Into the Flood Maw,3,main
4,"Hoxie, Richard",Izzet Prowess,Island,4,main
5,"Hoxie, Richard",Izzet Prowess,Monastery Swiftspear,4,main
6,"Hoxie, Richard",Izzet Prowess,Monstrous Rage,4,main
7,"Hoxie, Richard",Izzet Prowess,Mountain,5,main
8,"Hoxie, Richard",Izzet Prowess,Opt,4,main
9,"Hoxie, Richard",Izzet Prowess,Riverpyre Verge,4,main
10,"Hoxie, Richard",Izzet Prowess,Shivan Reef,4,main
11,"Hoxie, Richard",Izzet Prowess,Sleight of Hand,4,main
12,"Hoxie, Richard",Izzet Prowess,Slickshot Show-Off,2,main
13,"Hoxie, Richard",Izzet Prowess,Spirebluff Canal,4,main
14,"Hoxie, Richard",Izzet Prowess,Stock Up,4,main
15,"Hoxie, Richard",Izzet Prowess,Stormchaser's Talent,4,main
16,"Hoxie, Richard",Izzet Prowess,Drake Hatcher,1,side
17,"Hoxie, Richard",Izzet Prowess,Ghost Vacuum,2,side
18,"Hoxie, Richard",Izzet Prowess,Into the Flood Maw,1,side
19,"Hoxie, Richard",Izzet Prowess,Pyroclasm,2,side
20,"Hoxie, Richard",Izzet Prowess,"Ral, Crackling Wit",2,side
21,"Hoxie, Richard",Izzet Prowess,Spell Pierce,2,side
22,"Hoxie, Richard",Izzet Prowess,Sunspine Lynx,2,side
23,"Hoxie, Richard",Izzet Prowess,Torch the Tower,2,side
24,"Hoxie, Richard",Izzet Prowess,Witchstalker Frenzy,1,side
0,Chris_K,Izzet Prowess,Burst Lightning,4,main
1,Chris_K,Izzet Prowess,Cori-Steel Cutter,4,main
2,Chris_K,Izzet Prowess,Drake Hatcher,2,main
3,Chris_K,Izzet Prowess,Into the Flood Maw,3,main
4,Chris_K,Izzet Prowess,Island,5,main
5,Chris_K,Izzet Prowess,Monastery Swiftspear,4,main
6,Chris_K,Izzet Prowess,Monstrous Rage,4,main
7,Chris_K,Izzet Prowess,Mountain,4,main
8,Chris_K,Izzet Prowess,Opt,4,main
9,Chris_K,Izzet Prowess,Riverpyre Verge,4,main
10,Chris_K,Izzet Prowess,Shivan Reef,4,main
11,Chris_K,Izzet Prowess,Sleight of Hand,4,main
12,Chris_K,Izzet Prowess,Slickshot Show-Off,2,main
13,Chris_K,Izzet Prowess,Spirebluff Canal,4,main
14,Chris_K,Izzet Prowess,Stock Up,4,main
15,Chris_K,Izzet Prowess,Stormchaser's Talent,4,main
16,Chris_K,Izzet Prowess,Drake Hatcher,1,side
17,Chris_K,Izzet Prowess,Ghost Vacuum,2,side
18,Chris_K,Izzet Prowess,Into the Flood Maw,1,side
19,Chris_K,Izzet Prowess,Pyroclasm,2,side
20,Chris_K,Izzet Prowess,"Ral, Crackling Wit",2,side
21,Chris_K,Izzet Prowess,Spell Pierce,2,side
22,Chris_K,Izzet Prowess,Sunspine Lynx,2,side
23,Chris_K,Izzet Prowess,Torch the Tower,2,side
24,Chris_K,Izzet Prowess,Witchstalker Frenzy,1,side
0,"Colon, Gustavo",Jeskai Control,"Beza, the Bounding Spring",3,main
1,"Colon, Gustavo",Jeskai Control,Change the Equation,1,main
2,"Colon, Gustavo",Jeskai Control,Cori Mountain Monastery,1,main
3,"Colon, Gustavo",Jeskai Control,Day of Judgment,1,main
4,"Colon, Gustavo",Jeskai Control,Dispelling Exhale,2,main
5,"Colon, Gustavo",Jeskai Control,Elegant Parlor,2,main
6,"Colon, Gustavo",Jeskai Control,Fabled Passage,1,main
7,"Colon, Gustavo",Jeskai Control,Floodfarm Verge,4,main
8,"Colon, Gustavo",Jeskai Control,Get Lost,3,main
9,"Colon, Gustavo",Jeskai Control,High Noon,3,main
10,"Colon, Gustavo",Jeskai Control,Island,3,main
11,"Colon, Gustavo",Jeskai Control,Jeskai Revelation,2,main
12,"Colon, Gustavo",Jeskai Control,Lightning Helix,4,main
13,"Colon, Gustavo",Jeskai Control,Marang River Regent // Coil and Catch,2,main
14,"Colon, Gustavo",Jeskai Control,Meticulous Archive,3,main
15,"Colon, Gustavo",Jeskai Control,Mountain,1,main
16,"Colon, Gustavo",Jeskai Control,Plains,3,main
17,"Colon, Gustavo",Jeskai Control,Riverpyre Verge,3,main
18,"Colon, Gustavo",Jeskai Control,"Shiko, Paragon of the Way",3,main
19,"Colon, Gustavo",Jeskai Control,Split Up,2,main
20,"Colon, Gustavo",Jeskai Control,Stock Up,4,main
21,"Colon, Gustavo",Jeskai Control,Sunbillow Verge,3,main
22,"Colon, Gustavo",Jeskai Control,Three Steps Ahead,1,main
23,"Colon, Gustavo",Jeskai Control,Thundering Falls,2,main
24,"Colon, Gustavo",Jeskai Control,"Chandra, Hope's Beacon",1,main
25,"Colon, Gustavo",Jeskai Control,Soul Partition,2,main
26,"Colon, Gustavo",Jeskai Control,Authority of the Consuls,2,side
27,"Colon, Gustavo",Jeskai Control,"Beza, the Bounding Spring",1,side
28,"Colon, Gustavo",Jeskai Control,Change the Equation,1,side
29,"Colon, Gustavo",Jeskai Control,Destroy Evil,1,side
30,"Colon, Gustavo",Jeskai Control,Ghost Vacuum,2,side
31,"Colon, Gustavo",Jeskai Control,"Jace, the Perfected Mind",2,side
32,"Colon, Gustavo",Jeskai Control,Negate,2,side
33,"Colon, Gustavo",Jeskai Control,Riverchurn Monument,1,side
34,"Colon, Gustavo",Jeskai Control,Tishana's Tidebinder,2,side
35,"Colon, Gustavo",Jeskai Control,Temporary Lockdown,1,side
0,"Steinwand, Tyler",Jeskai Oculus,Abhorrent Oculus,4,main
1,"Steinwand, Tyler",Jeskai Oculus,Fear of Missing Out,4,main
2,"Steinwand, Tyler",Jeskai Oculus,"Inti, Seneschal of the Sun",2,main
3,"Steinwand, Tyler",Jeskai Oculus,Spyglass Siren,4,main
4,"Steinwand, Tyler",Jeskai Oculus,Steamcore Scholar,4,main
5,"Steinwand, Tyler",Jeskai Oculus,Tersa Lightshatter,1,main
6,"Steinwand, Tyler",Jeskai Oculus,Bounce Off,1,main
7,"Steinwand, Tyler",Jeskai Oculus,Into the Flood Maw,1,main
8,"Steinwand, Tyler",Jeskai Oculus,Island,1,main
9,"Steinwand, Tyler",Jeskai Oculus,Torch the Tower,4,main
10,"Steinwand, Tyler",Jeskai Oculus,Helping Hand,4,main
11,"Steinwand, Tyler",Jeskai Oculus,Recommission,2,main
12,"Steinwand, Tyler",Jeskai Oculus,Winternight Stories,1,main
13,"Steinwand, Tyler",Jeskai Oculus,Bitter Reunion,1,main
14,"Steinwand, Tyler",Jeskai Oculus,Proft's Eidetic Memory,3,main
15,"Steinwand, Tyler",Jeskai Oculus,Mountain,1,main
16,"Steinwand, Tyler",Jeskai Oculus,Inspiring Vantage,4,main
17,"Steinwand, Tyler",Jeskai Oculus,Battlefield Forge,2,main
18,"Steinwand, Tyler",Jeskai Oculus,Adarkar Wastes,2,main
19,"Steinwand, Tyler",Jeskai Oculus,Spell Pierce,2,main
20,"Steinwand, Tyler",Jeskai Oculus,Thundering Falls,1,main
21,"Steinwand, Tyler",Jeskai Oculus,Seachrome Coast,4,main
22,"Steinwand, Tyler",Jeskai Oculus,Shivan Reef,3,main
23,"Steinwand, Tyler",Jeskai Oculus,Spirebluff Canal,4,main
24,"Steinwand, Tyler",Jeskai Oculus,"Chandra, Spark Hunter",2,side
25,"Steinwand, Tyler",Jeskai Oculus,Destroy Evil,2,side
26,"Steinwand, Tyler",Jeskai Oculus,Ghost Vacuum,2,side
27,"Steinwand, Tyler",Jeskai Oculus,High Noon,2,side
28,"Steinwand, Tyler",Jeskai Oculus,Loran of the Third Path,1,side
29,"Steinwand, Tyler",Jeskai Oculus,Sheltered by Ghosts,2,side
30,"Steinwand, Tyler",Jeskai Oculus,The Filigree Sylex,2,side
31,"Steinwand, Tyler",Jeskai Oculus,Disdainful Stroke,2,side
0,"Pellegrini, David",Izzet Prowess,Stormchaser's Talent,4,main
1,"Pellegrini, David",Izzet Prowess,Shivan Reef,4,main
2,"Pellegrini, David",Izzet Prowess,Opt,4,main
3,"Pellegrini, David",Izzet Prowess,Monastery Swiftspear,4,main
4,"Pellegrini, David",Izzet Prowess,Burst Lightning,4,main
5,"Pellegrini, David",Izzet Prowess,Spirebluff Canal,4,main
6,"Pellegrini, David",Izzet Prowess,Cori-Steel Cutter,4,main
7,"Pellegrini, David",Izzet Prowess,Slickshot Show-Off,2,main
8,"Pellegrini, David",Izzet Prowess,Into the Flood Maw,3,main
9,"Pellegrini, David",Izzet Prowess,Island,5,main
10,"Pellegrini, David",Izzet Prowess,Monstrous Rage,4,main
11,"Pellegrini, David",Izzet Prowess,Mountain,4,main
12,"Pellegrini, David",Izzet Prowess,Stock Up,4,main
13,"Pellegrini, David",Izzet Prowess,Drake Hatcher,2,main
14,"Pellegrini, David",Izzet Prowess,Sleight of Hand,4,main
15,"Pellegrini, David",Izzet Prowess,Riverpyre Verge,4,main
16,"Pellegrini, David",Izzet Prowess,"Ral, Crackling Wit",2,side
17,"Pellegrini, David",Izzet Prowess,Sunspine Lynx,2,side
18,"Pellegrini, David",Izzet Prowess,Ghost Vacuum,2,side
19,"Pellegrini, David",Izzet Prowess,Into the Flood Maw,1,side
20,"Pellegrini, David",Izzet Prowess,Torch the Tower,3,side
21,"Pellegrini, David",Izzet Prowess,Drake Hatcher,1,side
22,"Pellegrini, David",Izzet Prowess,Witchstalker Frenzy,1,side
23,"Pellegrini, David",Izzet Prowess,Pyroclasm,1,side
24,"Pellegrini, David",Izzet Prowess,Spell Pierce,2,side
0,"Edelson, Adam",Izzet Prowess,Mountain,3,main
1,"Edelson, Adam",Izzet Prowess,Drake Hatcher,2,main
2,"Edelson, Adam",Izzet Prowess,Into the Flood Maw,3,main
3,"Edelson, Adam",Izzet Prowess,Monastery Swiftspear,4,main
4,"Edelson, Adam",Izzet Prowess,Monstrous Rage,4,main
5,"Edelson, Adam",Izzet Prowess,Riverpyre Verge,4,main
6,"Edelson, Adam",Izzet Prowess,Island,6,main
7,"Edelson, Adam",Izzet Prowess,Burst Lightning,4,main
8,"Edelson, Adam",Izzet Prowess,Opt,4,main
9,"Edelson, Adam",Izzet Prowess,Stock Up,4,main
10,"Edelson, Adam",Izzet Prowess,Stormchaser's Talent,4,main
11,"Edelson, Adam",Izzet Prowess,Cori-Steel Cutter,4,main
12,"Edelson, Adam",Izzet Prowess,Shivan Reef,4,main
13,"Edelson, Adam",Izzet Prowess,Sleight of Hand,4,main
14,"Edelson, Adam",Izzet Prowess,Spirebluff Canal,4,main
15,"Edelson, Adam",Izzet Prowess,Slickshot Show-Off,2,main
16,"Edelson, Adam",Izzet Prowess,Ghost Vacuum,2,side
17,"Edelson, Adam",Izzet Prowess,"Ral, Crackling Wit",1,side
18,"Edelson, Adam",Izzet Prowess,Sunspine Lynx,2,side
19,"Edelson, Adam",Izzet Prowess,Torch the Tower,2,side
20,"Edelson, Adam",Izzet Prowess,Abrade,2,side
21,"Edelson, Adam",Izzet Prowess,Spell Pierce,2,side
22,"Edelson, Adam",Izzet Prowess,Disdainful Stroke,1,side
23,"Edelson, Adam",Izzet Prowess,Fresh Start,1,side
24,"Edelson, Adam",Izzet Prowess,Rebel Salvo,1,side
25,"Edelson, Adam",Izzet Prowess,Drake Hatcher,1,side
0,"Pounds, Robert",Izzet Prowess,Spell Pierce,1,main
1,"Pounds, Robert",Izzet Prowess,Monastery Swiftspear,4,main
2,"Pounds, Robert",Izzet Prowess,Island,4,main
3,"Pounds, Robert",Izzet Prowess,Monstrous Rage,3,main
4,"Pounds, Robert",Izzet Prowess,Mountain,4,main
5,"Pounds, Robert",Izzet Prowess,Burst Lightning,4,main
6,"Pounds, Robert",Izzet Prowess,Slickshot Show-Off,4,main
7,"Pounds, Robert",Izzet Prowess,Into the Flood Maw,2,main
8,"Pounds, Robert",Izzet Prowess,Sleight of Hand,4,main
9,"Pounds, Robert",Izzet Prowess,Stormchaser's Talent,4,main
10,"Pounds, Robert",Izzet Prowess,Stock Up,4,main
11,"Pounds, Robert",Izzet Prowess,Opt,4,main
12,"Pounds, Robert",Izzet Prowess,Spirebluff Canal,4,main
13,"Pounds, Robert",Izzet Prowess,Shivan Reef,4,main
14,"Pounds, Robert",Izzet Prowess,Thundering Falls,1,main
15,"Pounds, Robert",Izzet Prowess,Riverpyre Verge,4,main
16,"Pounds, Robert",Izzet Prowess,Cori-Steel Cutter,4,main
17,"Pounds, Robert",Izzet Prowess,Torch the Tower,1,main
18,"Pounds, Robert",Izzet Prowess,Screaming Nemesis,2,side
19,"Pounds, Robert",Izzet Prowess,Lithomantic Barrage,2,side
